CityName,SiteCode,ZoneName,Year,Month,DeathRegMale,DeathRegFemale,DeathRegCount,CertiIssueCountMale,CertiIssueCountFeMale,CertiIssueCount
Surat,609,"South Zone",2002,9,2,4,6,0,0,NA
Surat,609,"South Zone",2002,10,4,0,4,2,0,2
Surat,609,"South Zone",2003,7,2,0,2,NA,0,NA
Surat,609,"South Zone",2003,8,3,2,5,4,0,4
Surat,609,"South Zone",2003,9,4,0,4,NA,0,NA
Surat,609,"South Zone",2003,10,2,1,3,0,0,NA
Surat,609,"South Zone",2003,11,1,1,2,0,1,1
Surat,609,"South Zone",2005,7,1,3,4,0,7,7
Surat,609,"South Zone",2005,11,2,1,3,0,0,NA
Surat,609,"South Zone",2005,12,3,0,3,NA,0,NA
Surat,611,"South Zone",1991,8,1,0,1,NA,0,NA
Surat,611,"South Zone",1992,2,0,1,1,0,NA,NA
Surat,611,"South Zone",1995,1,1,0,1,NA,0,NA
Surat,611,"South Zone",1998,8,1,0,1,NA,0,NA
Surat,611,"South Zone",1999,2,1,0,1,3,0,3
Surat,611,"South Zone",2000,5,1,0,1,4,0,4
Surat,611,"South Zone",2000,6,0,1,1,0,5,5
Surat,611,"South Zone",2003,10,1,0,1,NA,0,NA
Surat,611,"South Zone",2004,1,2,0,2,2,0,2
Surat,611,"South Zone",2004,8,1,0,1,NA,0,NA
Surat,611,"South Zone",2005,6,6,0,6,NA,0,NA
Surat,611,"South Zone",2005,9,1,0,1,NA,0,NA
Surat,611,"South Zone",2006,6,1,0,1,NA,0,NA
Surat,612,"South Zone",1993,1,1,0,1,NA,0,NA
Surat,612,"South Zone",1994,5,1,0,1,5,0,5
Surat,613,"South Zone",1989,7,1,0,1,NA,0,NA
Surat,613,"South Zone",1992,7,0,1,1,0,NA,NA
Surat,613,"South Zone",1993,9,1,0,1,NA,0,NA
Surat,613,"South Zone",1994,5,1,0,1,5,0,5
Surat,613,"South Zone",1994,10,1,0,1,1,0,1
Surat,613,"South Zone",1995,7,1,0,1,NA,0,NA
Surat,613,"South Zone",1997,4,2,0,2,4,0,4
Surat,613,"South Zone",1997,11,1,0,1,4,0,4
Surat,613,"South Zone",1997,12,1,0,1,NA,0,NA
Surat,613,"South Zone",1998,5,1,0,1,1,0,1
Surat,613,"South Zone",1998,12,0,1,1,0,NA,NA
Surat,613,"South Zone",1999,1,1,0,1,9,0,9
Surat,613,"South Zone",1999,4,0,1,1,0,NA,NA
Surat,613,"South Zone",1999,11,1,0,1,2,0,2
Surat,613,"South Zone",2000,7,1,0,1,NA,0,NA
Surat,613,"South Zone",2001,1,0,1,1,0,NA,NA
Surat,613,"South Zone",2002,9,1,0,1,NA,0,NA
Surat,613,"South Zone",2005,8,0,1,1,0,2,2
Surat,614,"South Zone",1990,1,1,0,1,NA,0,NA
Surat,614,"South Zone",1990,6,0,1,1,0,NA,NA
Surat,614,"South Zone",1990,7,1,2,3,1,4,5
Surat,614,"South Zone",1991,5,1,1,2,0,0,NA
Surat,614,"South Zone",1991,6,1,2,3,0,0,NA
Surat,614,"South Zone",1991,10,1,1,2,0,0,NA
Surat,614,"South Zone",1992,5,1,0,1,NA,0,NA
Surat,614,"South Zone",1992,7,2,1,3,0,1,1
Surat,614,"South Zone",1992,9,2,1,3,5,0,5
Surat,614,"South Zone",1993,7,1,2,3,0,9,9
Surat,614,"South Zone",1994,1,5,0,5,12,0,12
Surat,614,"South Zone",1994,10,1,1,2,0,0,NA
Surat,614,"South Zone",1995,10,3,0,3,NA,0,NA
Surat,614,"South Zone",1996,2,2,0,2,2,0,2
Surat,614,"South Zone",1997,6,0,2,2,0,NA,NA
Surat,614,"South Zone",1997,10,2,0,2,NA,0,NA
Surat,614,"South Zone",1999,5,2,1,3,5,0,5
Surat,614,"South Zone",1999,12,2,1,3,0,0,NA
Surat,614,"South Zone",2000,2,1,0,1,2,0,2
Surat,614,"South Zone",2000,5,1,1,2,1,0,1
Surat,614,"South Zone",2002,1,1,1,2,0,0,NA
Surat,614,"South Zone",2002,2,2,0,2,5,0,5
Surat,614,"South Zone",2002,5,2,0,2,NA,0,NA
Surat,614,"South Zone",2002,8,3,3,6,1,0,1
Surat,614,"South Zone",2002,9,1,0,1,NA,0,NA
Surat,614,"South Zone",2002,11,1,0,1,6,0,6
Surat,614,"South Zone",2002,12,1,2,3,1,0,1
Surat,614,"South Zone",2003,1,2,0,2,NA,0,NA
Surat,614,"South Zone",2003,4,1,0,1,NA,0,NA
Surat,614,"South Zone",2004,10,0,1,1,0,NA,NA
Surat,614,"South Zone",2004,11,2,0,2,NA,0,NA
Surat,614,"South Zone",2004,12,2,0,2,1,0,1
Surat,614,"South Zone",2005,11,1,0,1,4,0,4
Surat,615,"South Zone",1989,4,1,0,1,NA,0,NA
Surat,615,"South Zone",1990,6,2,0,2,5,0,5
Surat,615,"South Zone",1991,5,2,0,2,NA,0,NA
Surat,615,"South Zone",1993,2,1,0,1,NA,0,NA
Surat,615,"South Zone",1993,12,1,2,3,9,15,24
Surat,615,"South Zone",1995,4,2,0,2,NA,0,NA
Surat,615,"South Zone",1995,9,0,1,1,0,1,1
Surat,615,"South Zone",1995,10,1,1,2,0,0,NA
Surat,615,"South Zone",1996,2,0,1,1,0,NA,NA
Surat,615,"South Zone",1996,8,1,1,2,0,4,4
Surat,615,"South Zone",1996,9,3,0,3,3,0,3
Surat,615,"South Zone",1997,8,1,0,1,NA,0,NA
Surat,615,"South Zone",1997,11,0,1,1,0,4,4
Surat,615,"South Zone",1998,5,1,1,2,3,0,3
Surat,615,"South Zone",1999,5,0,2,2,0,NA,NA
Surat,615,"South Zone",1999,8,2,0,2,NA,0,NA
Surat,615,"South Zone",1999,11,0,1,1,0,NA,NA
Surat,615,"South Zone",1999,12,0,1,1,0,NA,NA
Surat,615,"South Zone",2000,1,0,1,1,0,3,3
Surat,615,"South Zone",2000,4,1,2,3,0,2,2
Surat,615,"South Zone",2001,6,2,0,2,NA,0,NA
Surat,615,"South Zone",2001,12,3,2,5,0,5,5
Surat,615,"South Zone",2002,4,1,0,1,NA,0,NA
Surat,615,"South Zone",2002,7,2,1,3,5,0,5
Surat,615,"South Zone",2002,8,1,0,1,NA,0,NA
Surat,615,"South Zone",2003,5,3,0,3,2,0,2
Surat,615,"South Zone",2005,9,2,0,2,4,0,4
Surat,700,"South West Zone",1989,4,16,13,29,20,9,29
Surat,700,"South West Zone",1990,6,11,11,22,8,14,22
Surat,700,"South West Zone",1990,7,30,23,53,18,2,20
Surat,700,"South West Zone",1990,8,16,16,32,29,0,29
Surat,700,"South West Zone",1991,6,28,22,50,18,0,18
Surat,700,"South West Zone",1991,9,36,18,54,16,0,16
Surat,700,"South West Zone",1991,10,20,25,45,18,10,28
Surat,700,"South West Zone",1994,1,83,59,142,27,16,43
Surat,700,"South West Zone",1994,6,74,47,121,21,7,28
Surat,700,"South West Zone",1994,11,38,40,78,15,6,21
Surat,700,"South West Zone",1994,12,34,22,56,28,8,36
Surat,700,"South West Zone",1995,2,55,47,102,14,17,31
Surat,700,"South West Zone",1995,8,87,60,147,17,16,33
Surat,700,"South West Zone",1995,11,94,48,142,12,4,16
Surat,700,"South West Zone",1996,1,84,49,133,36,25,61
Surat,700,"South West Zone",1996,4,89,66,155,29,16,45
Surat,700,"South West Zone",1996,5,88,47,135,14,5,19
Surat,700,"South West Zone",1997,1,80,61,141,26,8,34
Surat,700,"South West Zone",1997,7,99,62,161,27,7,34
Surat,700,"South West Zone",1998,2,93,63,156,36,9,45
Surat,700,"South West Zone",1998,9,105,83,188,30,15,45
Surat,700,"South West Zone",1999,1,74,50,124,11,11,22
Surat,700,"South West Zone",1999,4,89,62,151,23,10,33
Surat,700,"South West Zone",1999,6,84,75,159,34,1,35
Surat,700,"South West Zone",2000,10,139,94,233,22,5,27
Surat,700,"South West Zone",2001,9,118,77,195,84,23,107
Surat,700,"South West Zone",2002,1,131,84,215,31,26,57
Surat,700,"South West Zone",2002,6,105,76,181,59,26,85
Surat,700,"South West Zone",2002,8,148,51,199,65,13,78
Surat,700,"South West Zone",2003,4,141,93,234,50,26,76
Surat,700,"South West Zone",2003,10,157,93,250,59,34,93
Surat,700,"South West Zone",2004,1,138,71,209,53,14,67
Surat,700,"South West Zone",2004,9,172,114,286,51,44,95
Surat,700,"South West Zone",2004,12,125,94,219,54,91,145
Surat,700,"South West Zone",2005,2,118,61,179,75,18,93
Surat,700,"South West Zone",2005,4,117,97,214,42,40,82
Surat,700,"South West Zone",2006,8,185,97,282,113,41,154
Surat,700,"South West Zone",2006,9,229,106,335,72,41,113
Surat,700,"South West Zone",2006,12,164,96,260,83,37,120
Surat,700,"South West Zone",2007,2,183,112,295,98,41,139
Surat,700,"South West Zone",2007,8,187,122,309,64,41,105
Surat,700,"South West Zone",2007,9,230,139,369,116,42,158
Surat,700,"South West Zone",2008,4,138,114,252,153,48,201
Surat,700,"South West Zone",2008,8,239,119,358,106,35,141
Surat,700,"South West Zone",2009,7,193,137,330,70,53,123
Surat,700,"South West Zone",2010,1,205,116,321,50,73,123
Surat,700,"South West Zone",2010,2,180,102,282,68,81,149
Surat,700,"South West Zone",2010,6,200,96,296,109,28,137
Surat,700,"South West Zone",2010,8,229,168,397,78,76,154
Surat,700,"South West Zone",2011,7,187,127,314,103,60,163
Surat,700,"South West Zone",2011,8,220,122,342,115,94,209
Surat,700,"South West Zone",2012,9,225,120,345,140,54,194
Surat,700,"South West Zone",2012,10,290,154,444,121,120,241
Surat,700,"South West Zone",2013,4,247,147,394,107,84,191
Surat,700,"South West Zone",2013,5,234,132,366,175,95,270
Surat,700,"South West Zone",2013,6,264,158,422,146,88,234
Surat,700,"South West Zone",2013,10,277,162,439,153,90,243
Surat,700,"South West Zone",2014,2,269,162,431,91,172,263
Surat,700,"South West Zone",2014,7,235,135,370,195,159,354
Surat,700,"South West Zone",2014,10,208,152,360,188,202,390
Surat,700,"South West Zone",2014,11,261,186,447,144,118,262
Surat,700,"South West Zone",2015,8,275,179,454,678,310,988
Surat,700,"South West Zone",2015,10,365,204,569,822,432,1254
Surat,700,"South West Zone",2016,7,253,151,404,548,296,844
Surat,700,"South West Zone",2016,10,267,152,419,701,236,937
Surat,700,"South West Zone",2016,12,306,192,498,953,330,1283
Surat,700,"South West Zone",2017,2,213,132,345,393,206,599
Surat,700,"South West Zone",2017,9,308,205,513,843,489,1332
Surat,700,"South West Zone",2019,5,317,175,492,932,474,1406
Surat,700,"South West Zone",2019,6,251,149,400,876,351,1227
Surat,700,"South West Zone",2019,7,347,188,535,1045,296,1341
Surat,700,"South West Zone",2019,11,375,248,623,1067,555,1622
Surat,701,"South West Zone",1999,5,1,0,1,1,0,1
Surat,701,"South West Zone",1999,10,1,1,2,2,0,2
Surat,707,"South West Zone",1990,5,2,0,2,11,0,11
Surat,707,"South West Zone",1990,9,0,1,1,0,3,3
Surat,707,"South West Zone",1991,7,1,0,1,2,0,2
Surat,707,"South West Zone",1993,4,2,0,2,1,0,1
Surat,707,"South West Zone",1994,7,1,1,2,0,6,6
Surat,707,"South West Zone",1996,2,1,0,1,NA,0,NA
Surat,707,"South West Zone",1997,1,1,0,1,9,0,9
Surat,707,"South West Zone",1997,11,2,1,3,0,1,1
Surat,707,"South West Zone",1998,1,3,0,3,NA,0,NA
Surat,707,"South West Zone",1999,4,0,2,2,0,12,12
Surat,707,"South West Zone",1999,11,0,1,1,0,NA,NA
Surat,707,"South West Zone",2000,2,1,1,2,5,1,6
Surat,707,"South West Zone",2000,4,0,1,1,0,NA,NA
Surat,707,"South West Zone",2001,11,0,1,1,0,NA,NA
Surat,707,"South West Zone",2002,6,0,1,1,0,NA,NA
Surat,707,"South West Zone",2003,2,0,1,1,0,NA,NA
Surat,707,"South West Zone",2003,9,1,0,1,3,0,3
Surat,707,"South West Zone",2004,8,1,1,2,4,0,4
Surat,707,"South West Zone",2005,7,0,1,1,0,NA,NA
Surat,707,"South West Zone",2006,1,1,2,3,6,4,10
Surat,708,"South West Zone",1989,4,1,1,2,0,3,3
Surat,708,"South West Zone",1990,4,6,0,6,4,0,4
Surat,708,"South West Zone",1991,4,0,1,1,0,NA,NA
Surat,708,"South West Zone",1992,9,2,0,2,2,0,2
Surat,708,"South West Zone",1993,5,1,1,2,3,2,5
Surat,708,"South West Zone",1993,6,2,1,3,0,0,NA
Surat,708,"South West Zone",1993,7,1,0,1,NA,0,NA
Surat,708,"South West Zone",1995,6,3,0,3,2,0,2
Surat,708,"South West Zone",1995,12,2,2,4,4,0,4
Surat,708,"South West Zone",1996,10,2,0,2,1,0,1
Surat,708,"South West Zone",1996,11,1,0,1,NA,0,NA
Surat,708,"South West Zone",1997,6,2,0,2,1,0,1
Surat,708,"South West Zone",1997,9,1,1,2,5,5,10
Surat,708,"South West Zone",1998,6,0,1,1,0,NA,NA
Surat,708,"South West Zone",1999,7,0,2,2,0,NA,NA
Surat,708,"South West Zone",2000,1,1,3,4,0,4,4
Surat,708,"South West Zone",2000,6,2,2,4,8,0,8
Surat,708,"South West Zone",2000,12,1,0,1,NA,0,NA
Surat,708,"South West Zone",2001,1,0,1,1,0,NA,NA
Surat,708,"South West Zone",2002,4,4,0,4,12,0,12
Surat,708,"South West Zone",2003,9,1,1,2,0,2,2
Surat,708,"South West Zone",2004,6,1,1,2,0,3,3
Surat,708,"South West Zone",2004,8,4,2,6,5,1,6
Surat,708,"South West Zone",2006,6,2,0,2,7,0,7
Surat,708,"South West Zone",2006,7,2,2,4,1,7,8
Surat,709,"South West Zone",1989,2,1,0,1,2,0,2
Surat,709,"South West Zone",1989,11,1,0,1,NA,0,NA
Surat,709,"South West Zone",1990,6,2,0,2,2,0,2
Surat,709,"South West Zone",1990,11,1,0,1,NA,0,NA
Surat,709,"South West Zone",1991,1,1,1,2,0,0,NA
Surat,709,"South West Zone",1991,8,1,1,2,0,0,NA
Surat,709,"South West Zone",1992,6,2,0,2,1,0,1
Surat,709,"South West Zone",1992,12,2,2,4,1,0,1
Surat,709,"South West Zone",1993,6,0,1,1,0,NA,NA
Surat,709,"South West Zone",1993,10,3,0,3,5,0,5
Surat,709,"South West Zone",1994,1,1,1,2,0,0,NA
Surat,709,"South West Zone",1994,9,2,0,2,NA,0,NA
Surat,709,"South West Zone",1995,1,1,1,2,1,0,1
Surat,709,"South West Zone",1995,7,1,1,2,3,6,9
Surat,709,"South West Zone",1996,1,1,2,3,0,0,NA
Surat,709,"South West Zone",1996,6,2,2,4,0,0,NA
Surat,709,"South West Zone",1996,7,0,2,2,0,NA,NA
Surat,709,"South West Zone",1998,6,1,2,3,3,0,3
Surat,709,"South West Zone",1998,7,1,2,3,2,0,2
Surat,709,"South West Zone",1998,10,4,0,4,NA,0,NA
Surat,709,"South West Zone",1998,12,1,0,1,NA,0,NA
Surat,709,"South West Zone",1999,5,0,2,2,0,NA,NA
Surat,709,"South West Zone",2000,6,1,1,2,0,0,NA
Surat,709,"South West Zone",2000,7,0,2,2,0,NA,NA
Surat,709,"South West Zone",2000,9,1,1,2,0,16,16
Surat,709,"South West Zone",2000,11,2,1,3,2,0,2
Surat,709,"South West Zone",2001,4,1,2,3,0,0,NA
Surat,709,"South West Zone",2001,9,1,0,1,NA,0,NA
Surat,709,"South West Zone",2002,4,2,1,3,0,0,NA
Surat,709,"South West Zone",2003,4,1,1,2,0,0,NA
Surat,709,"South West Zone",2003,7,0,1,1,0,NA,NA
Surat,709,"South West Zone",2004,4,0,1,1,0,2,2
Surat,709,"South West Zone",2004,10,1,0,1,NA,0,NA
Surat,709,"South West Zone",2004,11,1,0,1,NA,0,NA
Surat,709,"South West Zone",2005,2,1,0,1,NA,0,NA
Surat,709,"South West Zone",2006,4,4,2,6,0,6,6
Surat,710,"South West Zone",1989,12,1,0,1,NA,0,NA
Surat,710,"South West Zone",1991,9,1,0,1,NA,0,NA
Surat,710,"South West Zone",1991,12,1,0,1,5,0,5
Surat,710,"South West Zone",1993,12,0,1,1,0,1,1
Surat,710,"South West Zone",1995,9,1,0,1,NA,0,NA
Surat,710,"South West Zone",1995,10,1,1,2,0,0,NA
Surat,710,"South West Zone",1996,12,1,0,1,NA,0,NA
Surat,710,"South West Zone",1997,8,1,0,1,8,0,8
Surat,710,"South West Zone",1998,4,1,0,1,2,0,2
Surat,710,"South West Zone",1998,10,1,2,3,0,0,NA
Surat,710,"South West Zone",1999,4,0,1,1,0,10,10
Surat,710,"South West Zone",1999,12,2,0,2,NA,0,NA
Surat,710,"South West Zone",2000,5,1,0,1,6,0,6
Surat,710,"South West Zone",2002,1,1,0,1,10,0,10
Surat,710,"South West Zone",2003,5,1,0,1,NA,0,NA
Surat,710,"South West Zone",2004,4,1,1,2,0,0,NA
Surat,710,"South West Zone",2005,2,0,2,2,0,NA,NA
Surat,710,"South West Zone",2005,5,1,0,1,NA,0,NA
Surat,711,"South West Zone",1991,4,1,0,1,2,0,2
Surat,711,"South West Zone",1992,1,3,1,4,0,0,NA
Surat,711,"South West Zone",1992,7,0,1,1,0,NA,NA
Surat,711,"South West Zone",1992,9,1,0,1,NA,0,NA
Surat,711,"South West Zone",1993,6,1,1,2,0,0,NA
Surat,711,"South West Zone",1993,10,1,0,1,13,0,13
Surat,711,"South West Zone",1994,10,1,2,3,0,2,2
Surat,711,"South West Zone",1995,2,1,0,1,7,0,7
Surat,711,"South West Zone",1996,1,1,0,1,NA,0,NA
Surat,711,"South West Zone",1996,2,1,0,1,NA,0,NA
Surat,711,"South West Zone",1997,5,1,0,1,NA,0,NA
Surat,711,"South West Zone",1997,11,1,0,1,NA,0,NA
Surat,711,"South West Zone",1999,12,1,1,2,0,2,2
Surat,711,"South West Zone",2000,7,1,1,2,0,0,NA
Surat,711,"South West Zone",2001,5,1,0,1,NA,0,NA
Surat,711,"South West Zone",2001,6,2,0,2,NA,0,NA
Surat,711,"South West Zone",2002,4,0,1,1,0,NA,NA
Surat,711,"South West Zone",2003,7,2,0,2,NA,0,NA
Surat,711,"South West Zone",2004,7,2,1,3,5,0,5
Surat,711,"South West Zone",2005,5,1,0,1,1,0,1
Surat,711,"South West Zone",2006,1,1,0,1,6,0,6
Surat,712,"South West Zone",1990,6,0,1,1,0,NA,NA
Surat,712,"South West Zone",1990,12,1,1,2,2,0,2
Surat,712,"South West Zone",1998,9,1,0,1,3,0,3
Surat,712,"South West Zone",2004,6,0,1,1,0,1,1
Surat,713,"South West Zone",1989,10,3,0,3,2,0,2
Surat,713,"South West Zone",1990,2,3,0,3,5,0,5
Surat,713,"South West Zone",1990,5,3,0,3,NA,0,NA
Surat,713,"South West Zone",1990,9,0,1,1,0,1,1
Surat,713,"South West Zone",1991,6,1,1,2,0,0,NA
Surat,713,"South West Zone",1991,11,1,1,2,0,0,NA
Surat,713,"South West Zone",1991,12,1,0,1,NA,0,NA
Surat,713,"South West Zone",1992,2,2,3,5,0,0,NA
Surat,713,"South West Zone",1992,9,6,0,6,5,0,5
Surat,713,"South West Zone",1992,11,1,4,5,1,2,3
Surat,713,"South West Zone",1993,4,2,1,3,2,3,5
Surat,713,"South West Zone",1993,5,5,0,5,14,0,14
Surat,713,"South West Zone",1993,8,2,3,5,0,0,NA
Surat,713,"South West Zone",1994,2,3,3,6,0,6,6
Surat,713,"South West Zone",1994,9,3,1,4,0,0,NA
Surat,713,"South West Zone",1995,1,6,3,9,3,0,3
Surat,713,"South West Zone",1996,4,3,5,8,7,7,14
Surat,713,"South West Zone",1996,5,3,3,6,1,0,1
Surat,713,"South West Zone",1996,9,5,3,8,4,1,5
Surat,713,"South West Zone",1997,1,3,4,7,2,7,9
Surat,713,"South West Zone",1997,4,5,2,7,0,4,4
Surat,713,"South West Zone",1997,11,1,2,3,0,8,8
Surat,713,"South West Zone",1998,2,4,2,6,0,2,2
Surat,713,"South West Zone",1998,11,4,2,6,3,0,3
Surat,713,"South West Zone",1999,8,4,2,6,9,2,11
Surat,713,"South West Zone",2000,1,3,3,6,0,1,1
Surat,713,"South West Zone",2000,9,1,1,2,2,0,2
Surat,713,"South West Zone",2000,10,4,1,5,2,0,2
Surat,713,"South West Zone",2001,7,3,4,7,1,3,4
Surat,713,"South West Zone",2001,10,6,5,11,1,5,6
Surat,713,"South West Zone",2002,6,3,0,3,3,0,3
Surat,713,"South West Zone",2002,7,1,2,3,3,1,4
Surat,713,"South West Zone",2002,11,5,0,5,13,0,13
Surat,713,"South West Zone",2003,4,1,2,3,6,0,6
Surat,713,"South West Zone",2004,4,4,0,4,6,0,6
Surat,713,"South West Zone",2004,7,3,1,4,6,3,9
Surat,713,"South West Zone",2004,8,3,4,7,4,18,22
Surat,713,"South West Zone",2005,2,2,2,4,7,2,9
Surat,714,"South West Zone",1990,1,0,1,1,0,NA,NA
Surat,714,"South West Zone",1990,11,1,1,2,0,0,NA
Surat,714,"South West Zone",1991,10,0,1,1,0,NA,NA
Surat,714,"South West Zone",1992,2,0,1,1,0,NA,NA
Surat,714,"South West Zone",1992,8,1,2,3,0,1,1
Surat,714,"South West Zone",1992,9,1,1,2,7,4,11
Surat,714,"South West Zone",1992,10,1,1,2,0,0,NA
Surat,714,"South West Zone",1993,6,1,0,1,NA,0,NA
Surat,714,"South West Zone",1994,5,1,0,1,NA,0,NA
Surat,714,"South West Zone",1994,6,1,1,2,0,0,NA
Surat,714,"South West Zone",1996,1,2,0,2,NA,0,NA
Surat,714,"South West Zone",1997,1,2,1,3,2,0,2
Surat,714,"South West Zone",1997,8,2,1,3,0,0,NA
Surat,714,"South West Zone",1999,5,1,1,2,0,1,1
Surat,714,"South West Zone",2000,1,0,2,2,0,NA,NA
Surat,714,"South West Zone",2000,9,1,0,1,2,0,2
Surat,714,"South West Zone",2001,9,1,1,2,0,0,NA
Surat,714,"South West Zone",2001,10,1,0,1,5,0,5
Surat,714,"South West Zone",2002,1,0,1,1,0,NA,NA
Surat,714,"South West Zone",2002,4,1,0,1,NA,0,NA
Surat,714,"South West Zone",2002,12,2,0,2,3,0,3
Surat,714,"South West Zone",2003,2,1,3,4,0,0,NA
Surat,714,"South West Zone",2003,5,1,0,1,NA,0,NA
Surat,714,"South West Zone",2003,7,2,0,2,NA,0,NA
Surat,714,"South West Zone",2003,8,1,0,1,NA,0,NA
Surat,714,"South West Zone",2003,12,2,0,2,1,0,1
Surat,714,"South West Zone",2004,7,1,2,3,1,0,1
Surat,714,"South West Zone",2005,8,0,1,1,0,NA,NA
Surat,714,"South West Zone",2005,12,0,1,1,0,NA,NA
Surat,715,"South West Zone",1989,5,0,1,1,0,2,2
Surat,715,"South West Zone",1991,6,0,1,1,0,NA,NA
Surat,715,"South West Zone",1992,4,1,1,2,0,0,NA
Surat,715,"South West Zone",1992,7,4,1,5,7,0,7
Surat,715,"South West Zone",1992,9,1,2,3,1,0,1
Surat,715,"South West Zone",1992,10,2,0,2,9,0,9
Surat,715,"South West Zone",1993,11,0,3,3,0,3,3
Surat,715,"South West Zone",1994,9,3,1,4,0,3,3
Surat,715,"South West Zone",1994,10,5,1,6,0,0,NA
Surat,715,"South West Zone",1994,11,0,3,3,0,1,1
Surat,715,"South West Zone",1995,2,4,1,5,2,1,3
Surat,715,"South West Zone",1996,7,2,2,4,1,3,4
Surat,715,"South West Zone",1996,8,3,1,4,2,0,2
Surat,715,"South West Zone",1996,11,3,0,3,20,0,20
Surat,715,"South West Zone",1997,4,0,1,1,0,2,2
Surat,715,"South West Zone",1997,5,2,2,4,0,0,NA
Surat,715,"South West Zone",1997,6,2,3,5,0,0,NA
Surat,715,"South West Zone",1997,12,6,3,9,7,6,13
Surat,715,"South West Zone",1999,4,1,2,3,0,1,1
Surat,715,"South West Zone",1999,9,2,0,2,NA,0,NA
Surat,715,"South West Zone",2000,2,1,3,4,0,8,8
Surat,715,"South West Zone",2001,10,3,0,3,2,0,2
Surat,715,"South West Zone",2001,12,1,2,3,0,0,NA
Surat,715,"South West Zone",2002,4,1,3,4,5,2,7
Surat,715,"South West Zone",2002,9,0,1,1,0,NA,NA
Surat,715,"South West Zone",2002,12,2,3,5,2,3,5
Surat,715,"South West Zone",2003,2,4,2,6,4,4,8
Surat,715,"South West Zone",2003,4,2,3,5,0,0,NA
Surat,715,"South West Zone",2003,7,2,1,3,0,0,NA
Surat,715,"South West Zone",2003,10,4,1,5,0,0,NA
Surat,715,"South West Zone",2004,6,2,2,4,0,0,NA
Surat,715,"South West Zone",2005,4,1,3,4,2,1,3
Surat,716,"South West Zone",1989,1,2,0,2,4,0,4
Surat,716,"South West Zone",1989,10,2,0,2,NA,0,NA
Surat,716,"South West Zone",1990,1,1,0,1,10,0,10
Surat,716,"South West Zone",1992,2,2,0,2,NA,0,NA
Surat,716,"South West Zone",1992,6,3,0,3,NA,0,NA
Surat,716,"South West Zone",1993,4,1,0,1,NA,0,NA
Surat,716,"South West Zone",1993,7,3,1,4,8,0,8
Surat,716,"South West Zone",1993,8,0,1,1,0,NA,NA
Surat,716,"South West Zone",1993,10,2,1,3,7,2,9
Surat,716,"South West Zone",1995,9,2,1,3,0,0,NA
Surat,716,"South West Zone",1995,11,1,3,4,0,1,1
Surat,716,"South West Zone",1995,12,2,1,3,0,2,2
Surat,716,"South West Zone",1996,4,0,1,1,0,NA,NA
Surat,716,"South West Zone",1997,6,0,1,1,0,NA,NA
Surat,716,"South West Zone",1999,7,1,0,1,NA,0,NA
